Date,AVG Open,AVG High,AVG Low,AVG Close,AVG Adj Close,AVG Volume,AVG CloseUSD,currency US Dollar Index,currency Gold Futures,BTC/USD,Gold/BTC Ratio,mining Mining Difficulty,onchain Active Addresses,onchain Transaction Count,onchain Mempool Size,onchain Hash Rate (GH/s),onchain Mining Difficulty,onchain Transaction Fees (BTC),onchain Median Confirmation Time (min)
2023-07-22,19836.72896612258,19913.981209891183,19745.58845738002,19840.06436593192,12955.826009114582,1236978319.047619,8239.755835943604,101.06999969482422,1964.300048828125,30730.186164383565,0.0639208639453267,53911173001055.0,556589.0,480249.0,126197202.0,300153161.94439,53911173001055.0,18.163703370000007,12.283333333333331
2023-07-23,19836.72896612258,19913.981209891183,19745.58845738002,19840.06436593192,12955.826009114582,1236978319.047619,8239.755835943604,101.06999969482422,1964.300048828125,30730.186164383565,0.0639208639453267,53911173001055.0,556589.0,559624.0,64049131.0,300153161.94439,53911173001055.0,25.54846983,12.283333333333331
2023-07-24,19834.66130138579,19926.03325253441,19752.38391985212,19836.19265020461,12924.618275960283,1211660392.857143,8239.92320813308,101.3499984741211,1960.300048828125,30940.7101369863,0.0633566598875439,53911173001055.0,556589.0,559624.0,64049131.0,300153161.94439,53911173001055.0,25.54846983,12.283333333333331
2023-07-25,19879.557591029577,20022.34033493769,19836.278143019903,19987.079398018974,13117.682098388672,1294964569.047619,8281.749242344447,101.3499984741211,1962.0999755859373,31010.88479452055,0.0632713316174915,53911173001055.0,556589.0,559624.0,75745450.5,369831574.5386234,53911173001055.0,25.54846983,9.216666666666669
2023-07-26,19963.92938232422,20021.63029261998,19865.047665550595,19971.909563337053,13081.698282877604,1242672735.7142856,8268.08509588187,100.88999938964844,1968.9000244140625,31081.0594520548,0.0633472622595526,53911173001055.0,737067.0,559624.0,75745450.5,369831574.5386234,53911173001055.0,25.54846983,9.216666666666669
2023-07-27,19987.455691383,20157.795180547804,19899.73720877511,20059.200427827374,13080.488891601562,1413762600.0,8282.652083500161,101.7699966430664,1945.4000244140625,31151.234109589044,0.0624501750900207,53911173001055.0,737067.0,413038.0,81858671.5,369831574.5386234,53911173001055.0,20.83844045000001,9.216666666666669
2023-07-28,20004.503932407923,20174.955671037947,19938.334652855283,20138.613539922804,13204.821548461914,1332128883.3333335,8332.447078860618,101.62000274658205,1960.4000244140625,31221.40876712329,0.0627902488012776,53911173001055.0,737067.0,413038.0,81858671.5,369831574.5386234,53911173001055.0,20.83844045000001,9.216666666666669
2023-07-29,20004.503932407923,20174.955671037947,19938.334652855283,20138.613539922804,13204.821548461914,1332128883.3333335,8332.447078860618,101.62000274658205,1960.4000244140625,31221.40876712329,0.0627902488012776,52328312063444.0,737067.0,413038.0,81858671.5,343365594.25571066,52328312063444.0,20.83844045000001,9.641666666666666
2023-07-30,20004.503932407923,20174.955671037947,19938.334652855283,20138.613539922804,13204.821548461914,1332128883.3333335,8332.447078860618,101.62000274658205,1960.4000244140625,31221.40876712329,0.0627902488012776,52328312063444.0,800500.0,413038.0,85517920.0,343365594.25571066,52328312063444.0,20.83844045000001,9.641666666666666
2023-07-31,20184.37726702009,20316.25170898437,20104.12007940383,20230.72944277809,13280.463709513348,1487080545.238095,8352.022065957495,101.86000061035156,1970.5,31431.932739726028,0.0626910224171336,52328312063444.0,800500.0,445666.0,85517920.0,343365594.25571066,52328312063444.0,16.65975421,9.641666666666666
