# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Miner Revenue (USD)
2014-05-02,
2014-05-03,1824628.31054812
2014-05-05,
2014-05-06,
2014-05-07,2136347.09544072
2014-05-09,
2014-05-10,
2014-05-11,2107297.0875308
2014-05-13,
2014-05-14,
2014-05-15,2329797.59349022
2014-05-17,
2014-05-18,
2014-05-19,2800193.45760369
2014-05-21,
2014-05-22,
2014-05-23,2450791.24452302
2014-05-25,
2014-05-26,
2014-05-27,2171401.39268694
2014-05-29,
2014-05-30,
2014-05-31,2507046.66898787
2014-06-02,
2014-06-03,
2014-06-04,3593888.80985165
2014-06-06,
2014-06-07,
2014-06-08,2503351.83023013
2014-06-10,
2014-06-11,
2014-06-12,3477994.08182039
2014-06-14,
2014-06-15,
2014-06-16,3357698.58037231
2014-06-18,
2014-06-19,
2014-06-20,3429551.41602032
2014-06-22,
2014-06-23,
2014-06-24,3183637.21807602
2014-06-26,
2014-06-27,
2014-06-28,3390821.48285489
2014-06-30,
2014-07-01,
2014-07-02,2261661.30916854
2014-07-04,
2014-07-05,
2014-07-06,2561839.04560687
2014-07-08,
2014-07-09,
2014-07-10,3133288.01651803
2014-07-12,
2014-07-13,
2014-07-14,2324693.38813598
2014-07-16,
2014-07-17,
2014-07-18,3638812.44346872
2014-07-20,
2014-07-21,
2014-07-22,2652571.36378448
2014-07-24,
2014-07-25,
2014-07-26,2326825.30108101
2014-07-28,
2014-07-29,
2014-07-30,3902129.78311854
2014-08-01,
2014-08-02,
2014-08-03,2835381.94049722
2014-08-05,
2014-08-06,
2014-08-07,2541691.97252622
2014-08-09,
2014-08-10,
2014-08-11,3345836.1122912
2014-08-13,
2014-08-14,
2014-08-15,2314744.7005523
2014-08-17,
2014-08-18,
2014-08-19,2809058.54143764
2014-08-21,
2014-08-22,
2014-08-23,2738544.90844599
2014-08-25,
2014-08-26,
2014-08-27,2588865.36987183
2014-08-29,
2014-08-30,
2014-08-31,2985880.98310164
2014-09-02,
2014-09-03,
2014-09-04,2449816.0872382
2014-09-06,
2014-09-07,
2014-09-08,2008056.38792212
2014-09-10,
2014-09-11,
2014-09-12,2155557.16520553
2014-09-14,
2014-09-15,
2014-09-16,2514666.70244277
2014-09-18,
2014-09-19,
2014-09-20,2141250.18575465
2014-09-22,
2014-09-23,
2014-09-24,1964038.52619637
2014-09-26,
2014-09-27,
2014-09-28,1616493.01180865
2014-09-30,
2014-10-01,
2014-10-02,1588891.9563592
2014-10-04,
2014-10-05,
2014-10-06,1486380.20798555
2014-10-08,
