Date,Index,Open,High,Low,Close,Adj Close,Volume,CloseUSD,Currency
2019-09-12,HSI,27283.98046875,27283.98046875,26967.25,27087.630859375,27087.630859375,1337046900.0,27087.630859375,USD
2019-09-13,HSI,27154.509765625,27366.44921875,27074.5390625,27352.689453125,27352.689453125,1176496300.0,27352.689453125,USD
2019-09-16,HSI,27212.890625,27212.890625,26976.30078125,27124.55078125,27124.55078125,2189101500.0,27124.55078125,USD
2019-09-17,HSI,26942.9609375,26951.83984375,26694.369140625,26790.240234375,26790.240234375,1850715100.0,26790.240234375,USD
2019-09-18,HSI,26838.4296875,26891.16015625,26730.630859375,26754.119140625,26754.119140625,1372644100.0,26754.119140625,USD
2019-09-19,HSI,26820.73046875,26820.73046875,26372.08984375,26468.94921875,26468.94921875,1330417000.0,26468.94921875,USD
2019-09-20,HSI,26532.880859375,26564.359375,26410.41015625,26435.669921875,26435.669921875,1972985800.0,26435.669921875,USD
2019-09-23,HSI,26463.619140625,26483.029296875,26186.009765625,26222.400390625,26222.400390625,1285452900.0,26222.400390625,USD
2019-09-24,HSI,26300.2109375,26391.98046875,26207.26953125,26281.0,26281.0,2089366000.0,26281.0,USD
2019-09-25,HSI,26162.7109375,26190.560546875,25917.6796875,25945.349609375,25945.349609375,1762622300.0,25945.349609375,USD
2019-09-26,HSI,26075.150390625,26099.640625,25917.580078125,26041.9296875,26041.9296875,1700238600.0,26041.9296875,USD
2019-09-27,HSI,25977.98046875,26017.4609375,25840.66015625,25954.810546875,25954.810546875,984279500.0,25954.810546875,USD
2019-09-30,HSI,25844.7109375,26161.69921875,25786.2890625,26092.26953125,26092.26953125,1343934800.0,26092.26953125,USD
2019-10-02,HSI,25901.470703125,26092.619140625,25778.220703125,26042.689453125,26042.689453125,1202153800.0,26042.689453125,USD
2019-10-03,HSI,25831.439453125,26192.869140625,25809.470703125,26110.310546875,26110.310546875,1142351000.0,26110.310546875,USD
2019-10-04,HSI,26169.509765625,26169.509765625,25612.490234375,25821.029296875,25821.029296875,1137243700.0,25821.029296875,USD
2019-10-08,HSI,25848.73046875,26180.029296875,25761.5,25893.400390625,25893.400390625,1779110400.0,25893.400390625,USD
2019-10-09,HSI,25736.880859375,25866.83984375,25656.66015625,25682.810546875,25682.810546875,1588334500.0,25682.810546875,USD
2019-10-10,HSI,25625.5703125,25809.580078125,25521.94921875,25707.9296875,25707.9296875,1434231600.0,25707.9296875,USD
2019-10-11,HSI,25986.8203125,26393.009765625,25976.0703125,26308.439453125,26308.439453125,2030977900.0,26308.439453125,USD
2019-10-14,HSI,26520.9296875,26636.9296875,26386.41015625,26521.849609375,26521.849609375,2096251800.0,26521.849609375,USD
2019-10-15,HSI,26609.130859375,26609.130859375,26433.4296875,26503.9296875,26503.9296875,1569211500.0,26503.9296875,USD
2019-10-16,HSI,26553.900390625,26698.560546875,26432.4296875,26664.279296875,26664.279296875,1689389100.0,26664.279296875,USD
2019-10-17,HSI,26809.0390625,26956.8203125,26729.509765625,26848.490234375,26848.490234375,1403839300.0,26848.490234375,USD
2019-10-18,HSI,26910.55078125,26985.080078125,26650.130859375,26719.580078125,26719.580078125,1541856100.0,26719.580078125,USD
2019-10-21,HSI,26715.220703125,26818.439453125,26658.3203125,26725.6796875,26725.6796875,1045151500.0,26725.6796875,USD
2019-10-22,HSI,26813.810546875,26844.2890625,26698.30078125,26786.19921875,26786.19921875,1496851400.0,26786.19921875,USD
2019-10-23,HSI,26771.98046875,26818.990234375,26491.7109375,26566.73046875,26566.73046875,1270778600.0,26566.73046875,USD
2019-10-24,HSI,26651.029296875,26810.4296875,26592.1796875,26797.94921875,26797.94921875,1496729000.0,26797.94921875,USD
2019-10-25,HSI,26795.640625,26795.640625,26621.1796875,26667.390625,26667.390625,1151226200.0,26667.390625,USD
2019-10-28,HSI,26770.109375,27005.6796875,26762.69921875,26891.259765625,26891.259765625,1476176200.0,26891.259765625,USD
2019-10-29,HSI,27027.560546875,27027.560546875,26729.060546875,26786.759765625,26786.759765625,1515348700.0,26786.759765625,USD
