Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
399001.SZ,2020-02-25,11856.080078125,11856.080078125,11856.080078125,11856.080078125,11856.080078125,0.0,
399001.SZ,2020-02-26,11497.5498046875,11497.5498046875,11497.5498046875,11497.5498046875,11497.5498046875,0.0,
399001.SZ,2020-02-27,11555.8203125,11684.5,11401.3203125,11534.01953125,11534.01953125,2464500.0,
399001.SZ,2020-02-28,11150.66015625,11338.349609375,10962.240234375,10980.76953125,10980.76953125,2800200.0,
399001.SZ,2020-03-02,11381.759765625,11381.759765625,11381.759765625,11381.759765625,11381.759765625,0.0,
399001.SZ,2020-03-03,11597.66015625,11734.1796875,11378.759765625,11484.2099609375,11484.2099609375,2659900.0,
399001.SZ,2020-03-04,11493.01953125,11493.01953125,11493.01953125,11493.01953125,11493.01953125,0.0,
399001.SZ,2020-03-05,11644.41015625,11739.83984375,11521.2900390625,11711.3701171875,11711.3701171875,2529900.0,
399001.SZ,2020-03-06,11555.4599609375,11690.2001953125,11541.7802734375,11582.8203125,11582.8203125,2136600.0,
399001.SZ,2020-03-09,11363.7900390625,11407.4697265625,11100.91015625,11108.5498046875,11108.5498046875,2489100.0,
399001.SZ,2020-03-10,11016.919921875,11406.2998046875,10916.9501953125,11403.4697265625,11403.4697265625,2412300.0,
399001.SZ,2020-03-11,11436.4404296875,11444.7802734375,11197.08984375,11200.0498046875,11200.0498046875,2046700.0,
399001.SZ,2020-03-12,11022.400390625,11070.41015625,10842.3798828125,10941.009765625,10941.009765625,1869800.0,
399001.SZ,2020-03-13,10382.2197265625,10956.509765625,10380.169921875,10831.1298828125,10831.1298828125,2245600.0,
399001.SZ,2020-03-16,10867.66015625,10867.66015625,10217.9296875,10253.2802734375,10253.2802734375,2261500.0,
399001.SZ,2020-03-17,10337.919921875,10449.330078125,9885.8603515625,10202.75,10202.75,1957500.0,
399001.SZ,2020-03-18,10294.9599609375,10479.7802734375,10029.5703125,10029.5703125,10029.5703125,1974900.0,
399001.SZ,2020-03-19,10023.1201171875,10101.7998046875,9719.490234375,10019.8603515625,10019.8603515625,1933200.0,
399001.SZ,2020-03-20,10150.7802734375,10174.509765625,9964.2900390625,10150.1298828125,10150.1298828125,1583700.0,
399001.SZ,2020-03-23,9828.900390625,9929.9599609375,9659.349609375,9691.5302734375,9691.5302734375,1634700.0,
399001.SZ,2020-03-24,9900.2197265625,9945.919921875,9634.9697265625,9921.6796875,9921.6796875,1692200.0,
399001.SZ,2020-03-25,10171.4697265625,10255.580078125,10111.3603515625,10241.080078125,10241.080078125,1809200.0,
