,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-06-30,0.6412248958117355,4.530054660714672e-05,7.934932909249836e-05,0.0008018351175793
2015-07-01,0.6509230003332679,4.555584078167808e-05,7.934932909249836e-05,0.0007598320417578
2015-07-02,0.6557448849549654,4.5819961372557845e-05,7.934932909249836e-05,0.0007295493648273
2015-07-03,0.6487331190455244,4.610739994355677e-05,7.934932909249836e-05,0.0007382689268992
2015-07-04,0.6417213531360834,4.6390445132032086e-05,7.934932909249836e-05,0.0007812062363714
2015-07-05,0.6347095872266423,4.666330623339385e-05,7.934932909249836e-05,0.0008852658688417
2015-07-06,0.6276978213172013,4.695632862176762e-05,7.934932909249836e-05,0.0008580596256271
2015-07-07,0.6232415182682707,4.724391788302472e-05,7.934932909249836e-05,0.0008314195671712
2015-07-08,0.6184725876527678,4.751609209994301e-05,7.934932909249836e-05,0.0008746212497912
2015-07-09,0.6197574494410641,4.7783384190467335e-05,7.934932909249836e-05,0.0008599280929286
2015-07-10,0.5848184941637318,4.804659752499286e-05,7.934932909249836e-05,0.0010077650963876
2015-07-11,0.5795967148938173,4.832635278893024e-05,8.693166840690681e-05,0.0010853447918292
2015-07-12,0.5743749356239027,4.858294521210274e-05,9.451400772131504e-05,0.0012528669392354
2015-07-13,0.5691531563539882,4.883953066054541e-05,9.451400772131504e-05,0.0010753323068303
2015-07-14,0.577341511996674,4.911161721082001e-05,9.451400772131504e-05,0.0010320174448562
2015-07-15,0.5775742522287997,4.9384060573889465e-05,9.451400772131504e-05,0.0010165884781978
2015-07-16,0.5919798639934879,4.965021020544142e-05,9.451400772131504e-05,0.0009435474764479
2015-07-17,0.582814946209851,4.99059557090921e-05,9.451400772131504e-05,0.0009565985247172
2015-07-18,0.5788162844317497,5.017872428627295e-05,9.451400772131504e-05,0.0009134630793782
2015-07-19,0.5748176226536486,5.04580867256826e-05,9.451400772131504e-05,0.0009013180419182
2015-07-20,0.5708189608755473,5.0740438734937776e-05,9.451400772131504e-05,0.0009519650829147
2015-07-21,0.5756423218546796,5.100227456941329e-05,9.451400772131504e-05,0.000922258238347
2015-07-22,0.5664720254641344,5.12603962196649e-05,9.451400772131504e-05,0.0009353657322992
2015-07-23,0.5702582160954133,5.153626802257855e-05,9.451400772131504e-05,0.0009242966186738
2015-07-24,0.5416949505710911,5.18161926243628e-05,9.451400772131504e-05,0.0010396992415272
2015-07-25,0.5401773484809721,5.211904340538773e-05,9.995701449537764e-05,0.0010436530312286
2015-07-26,0.538659746390853,5.2390833605806485e-05,0.0001054000212694,0.0010812965420053
2015-07-27,0.537142144300734,5.266505813800317e-05,0.0001054000212694,0.0010901481466569
2015-07-28,0.5355689848652526,5.292965536897237e-05,0.0001054000212694,0.0010977259795955
2015-07-29,0.542774666902205,5.319652586690128e-05,0.0001054000212694,0.0010520801413053
2015-07-30,0.5441579595206942,5.345996040959935e-05,0.0001054000212694,0.0010344520969165
2015-07-31,0.5533761372115683,5.372776354777974e-05,0.0001054000212694,0.001005462342913
2015-08-01,0.5546919642029721,5.401081085094146e-05,0.0001054000212694,0.000976689731996
