,Global averaged stocks(USD),Currency US Dollar Index,Gold/BTC Ratio,S2F Model,BTC/USD
2015-06-10,0.0702793506539627,0.2374609785832886,0.7470447237154367,4.007291916379796e-05,0.0004784455603532
2015-06-11,0.0712786018174699,0.2503920826509631,0.7401886711895785,4.0348129403257966e-05,0.0004869576269425
2015-06-12,0.067442574132525,0.2500001494787081,0.7386002572016199,4.059363157725025e-05,0.0004895715516439
2015-06-13,0.066484715594282,0.2479102378365696,0.7327784357245763,4.086841218141373e-05,0.0005124085822097
2015-06-14,0.0655268570560392,0.2458203261944298,0.7269566142475327,4.1145883199379e-05,0.0005231760282183
2015-06-15,0.0645689985177961,0.2437304145522909,0.7211347927704892,4.1408254161652384e-05,0.0005541287096459
2015-06-16,0.0676676935117033,0.2511756500380575,0.6777156563064488,4.16450547493165e-05,0.0006869233705759
2015-06-17,0.0685732693042182,0.2237463071285197,0.6797371498478749,4.18929534193107e-05,0.0006717206186316
2015-06-18,0.0741100404005675,0.2135581373517996,0.6950935358598184,4.2178041319820587e-05,0.0006691066939303
2015-06-19,0.0715255849563389,0.215517205298243,0.707664709840985,4.244784601725428e-05,0.0006275753427451
2015-06-20,0.0725726887398769,0.2186520727614525,0.7018976939659247,4.270645433538669e-05,0.0006332940679979
2015-06-21,0.0736197925234148,0.2217869402246606,0.6961306780908646,4.293769249912965e-05,0.0006213281591848
2015-06-22,0.0746668963069528,0.2249218076878687,0.6903636622158045,4.318512322792027e-05,0.0006500726912545
2015-06-23,0.0753453700574776,0.268025188956035,0.693570968517706,4.345461487467029e-05,0.0006246499588287
2015-06-24,0.0705334692002047,0.2613638198147785,0.7023635475395404,4.372767572878805e-05,0.0005889693754762
2015-06-25,0.0686163105172418,0.2586208855238237,0.6950664984064079,4.400290907845478e-05,0.0006105229867249
2015-06-26,0.0691660419100058,0.269592622687639,0.6936185311064953,4.428020690164361e-05,0.0006180252227666
2015-06-27,0.0656531229009101,0.2607106975134918,0.6824919358380964,4.4539847098649054e-05,0.0006878198777753
2015-06-28,0.0621402038918146,0.2518287723393442,0.6713653405696975,4.478455716780595e-05,0.0006691444203816
2015-06-29,0.058627284882719,0.2429468471651961,0.6602387453012986,4.504019903018338e-05,0.0007451388848952
2015-06-30,0.0597776105950014,0.270376190074733,0.6412248958117355,4.530054660714672e-05,0.0008018351175793
2015-07-01,0.0634510272481054,0.3025078341790843,0.6509230003332679,4.555584078167808e-05,0.0007598320417578
2015-07-02,0.0627435434367651,0.2946709644784779,0.6557448849549654,4.5819961372557845e-05,0.0007295493648273
2015-07-03,0.0623876963135762,0.2965322733499196,0.6487331190455244,4.610739994355677e-05,0.0007382689268992
2015-07-04,0.0620318491903872,0.2983935822213608,0.6417213531360834,4.6390445132032086e-05,0.0007812062363714
2015-07-05,0.0616760020671982,0.3002548910928024,0.6347095872266423,4.666330623339385e-05,0.0008852658688417
