,Currency US Dollar Index,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-07-19,0.3641852583608647,0.5745834047717588,5.044712482378607e-05,9.44638425142184e-05,0.0009127657373408
2015-07-20,0.3626961244190949,0.5714601449120559,5.072036591275771e-05,9.559217708042908e-05,0.0009226904567858
2015-07-21,0.35703847202749,0.5748770716831519,5.099816780528747e-05,9.686601457677217e-05,0.0009501724441846
2015-07-22,0.3513006601142423,0.5664896540306102,5.127465609286364e-05,9.803469976618776e-05,0.000972183013603
2015-07-23,0.3456451136561691,0.569359393709486,5.154951852287406e-05,9.9093855175267e-05,0.0009874589197693
2015-07-24,0.3366013413153136,0.5423178593624933,5.182748868156835e-05,0.0001002010602772,0.0010150301671554
2015-07-25,0.3249780673901861,0.541126248653989,5.210732386490423e-05,0.0001013016319137,0.0010500735846174
2015-07-26,0.3189209940922039,0.5387217732390995,5.238399779899253e-05,0.000102233612213,0.0010688330682178
2015-07-27,0.3187629944374417,0.5369325369830283,5.265759888867184e-05,0.0001029931797809,0.0010713968406213
2015-07-28,0.3211618981091076,0.5359633875941494,5.292966582657185e-05,0.0001036149941772,0.0010658052656475
2015-07-29,0.32828752770756,0.5426264435590282,5.319893919508224e-05,0.0001040524607495,0.0010460452195288
2015-07-30,0.3344393640544035,0.5446328606889212,5.346955843779788e-05,0.0001044376614052,0.0010308683381272
2015-07-31,0.3393452121549133,0.5519620117995702,5.374166737858989e-05,0.0001047671714469,0.0010210365457442
2015-08-01,0.3477363525130069,0.5543611260582794,5.401212788123824e-05,0.0001049302834829,0.0010020748814743
2015-08-02,0.3584440153641375,0.5558358496933751,5.428180311540638e-05,0.000104948585733,0.0009779156111251
2015-08-03,0.3639882797777206,0.5569430900188023,5.455314788661012e-05,0.0001051346032159,0.000960067550197
2015-08-04,0.3642483555630694,0.5513031361800899,5.4826032795607965e-05,0.0001055015800449,0.0009479294330884
2015-08-05,0.3620012303863475,0.5542078053706692,5.509988086849745e-05,0.0001059118715867,0.0009387154031761
2015-08-06,0.3553102106612689,0.5631115068024249,5.537528777264048e-05,0.0001064475933385,0.0009352076035029
2015-08-07,0.3499883014239593,0.5637770804354987,5.5649989786845206e-05,0.0001068898171724,0.0009268974494537
2015-08-08,0.3463033261998886,0.5758480803521332,5.592392570226442e-05,0.0001072248091705,0.0009134802777576
2015-08-09,0.3396975047590492,0.587317495195556,5.619872754021481e-05,0.0001076316688331,0.0009025363488156
2015-08-10,0.3313972750380701,0.6001210098966938,5.647392027164075e-05,0.000108063314668,0.0008918499972976
2015-08-11,0.3247842883319729,0.589699484509734,5.674814724108074e-05,0.0001084741115038,0.0008719366142714
2015-08-12,0.3196388904966326,0.6071387428322402,5.702145323184855e-05,0.0001088821577325,0.0008426703010521
2015-08-13,0.3172724257945603,0.6078698943430033,5.729414845017159e-05,0.0001092776835603,0.0008069653706145
2015-08-14,0.3187003624693111,0.6035988920366362,5.75658876547864e-05,0.0001096550283142,0.0007622854066597
2015-08-15,0.3177193023881586,0.6097644856681296,5.78378898375324e-05,0.0001100868533423,0.000716095811078
2015-08-16,0.3146279122874271,0.6177645703732293,5.811017271449244e-05,0.0001105754991171,0.0006685307665088
2015-08-17,0.3136265142938967,0.6252269558778356,5.838182482640756e-05,0.0001110825598586,0.0006135947196663
2015-08-18,0.3136229912207746,0.7616377956124863,5.865308879256823e-05,0.0001116255554755,0.0005527261956223
2015-08-19,0.302127103204778,0.717132909643009,5.892714864373965e-05,0.0001122412020869,0.0005074550539027
2015-08-20,0.2784232588366784,0.7065267969282557,5.920421542674586e-05,0.0001129325969176,0.0004791408413419
2015-08-21,0.2521574732162056,0.7184136817103058,5.9482952879735095e-05,0.0001136975989918,0.0004585438702363
2015-08-22,0.2203578091386676,0.7423489524377355,5.976424885704477e-05,0.0001145488678183,0.0004515988470962
2015-08-23,0.205655243883463,0.7659241993230416,6.004601271636293e-05,0.000115458663633,0.0004441529018121
2015-08-24,0.211359284806086,0.7885847822463149,6.032817020949072e-05,0.0001164308927011,0.0004356026487446
2015-08-25,0.2367407526874667,0.7399302164283738,6.061256260426247e-05,0.0001174932323676,0.000438286316735
2015-08-26,0.2649778627429553,0.7174541053480514,6.089879100291027e-05,0.0001186435541785,0.0004494295521271
2015-08-27,0.2838224313024727,0.7190225959004984,6.118443712826156e-05,0.0001201397897886,0.0004558614422921
2015-08-28,0.2823672472538849,0.7060359623273427,6.146953805261581e-05,0.0001220152242592,0.0004580800025634
2015-08-29,0.284082218772568,0.7073173911083857,6.1755013928072e-05,0.0001241514891128,0.0004606977582294
2015-08-30,0.2809500932274359,0.7077046662242049,6.204028336536318e-05,0.0001266276967222,0.0004606483554354
2015-08-31,0.2778733600290951,0.7093620357536554,6.232729330373442e-05,0.000129309881275,0.0004691246159364
2015-09-01,0.2768712383962605,0.7184890844572966,6.261617258369892e-05,0.0001321976747553,0.0004868475988615
2015-09-02,0.2824201375907167,0.7114809607430603,6.290548445796301e-05,0.0001354334924716,0.0005058303659013
2015-09-03,0.2971399565024294,0.711277381608042,6.319567435287121e-05,0.0001389978137769,0.000528663222604
2015-09-04,0.3017441719916737,0.7010544530193236,6.348526243562348e-05,0.0001416765615191,0.0005443514762409
