,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-03-15,0.0623442474825267,0.4381019801931816,0.1842057038986504,0.5745604477236235,6.62645335142203e-05,1.798797055745972e-05,9.405102734223088e-05,6.177261878725843e-05,0.0010141546486051
2015-03-16,0.0635493761427551,0.4307945882663601,0.1961169150373286,0.5723775030150251,6.670824833985434e-05,1.822490606678601e-05,9.713156362549356e-05,6.186953040183836e-05,0.000985368555963
2015-03-17,0.0648726406082499,0.424908275223357,0.2110304795070714,0.5791387000629007,6.476641123352642e-05,1.846136922262139e-05,9.879953729719904e-05,6.201193485144547e-05,0.0009468760226991
2015-03-18,0.0668038081143759,0.3993602136120016,0.2301760940075415,0.6461194586044838,6.428428589944134e-05,1.869531126546569e-05,0.0001031464167612,6.201093364385289e-05,0.0008985060985183
2015-03-19,0.0692461626515602,0.3827441813344984,0.2535032962784206,0.6447572635602248,6.414876360323709e-05,1.892720972238726e-05,0.0001091079327499,6.192094155054974e-05,0.0008393822347901
2015-03-20,0.070641066899215,0.3648847577772678,0.2659263938250591,0.6523936384737694,6.309384734725133e-05,1.9168104843521116e-05,0.0001125339010526,6.154196661364259e-05,0.0007949047367553
2015-03-21,0.0709093113347989,0.355179579748888,0.266223558144747,0.6488358395961112,6.142357521881607e-05,1.9418833155089715e-05,0.0001135291082427,6.083185119825498e-05,0.0007671325793261
2015-03-22,0.0707333856902143,0.3469966752645723,0.2616199864768481,0.6447628386840117,5.895858091389635e-05,1.967450319442497e-05,0.0001133551492873,5.992131194113937e-05,0.0007431393618801
2015-03-23,0.0696963501634797,0.3434719031293808,0.2479251202179223,0.6420337983258545,5.544719160412786e-05,1.9938209930278776e-05,0.0001109875849848,5.874611806484991e-05,0.0007298592966561
2015-03-24,0.0680473837977703,0.3403938077351219,0.2344869579480244,0.6981781362637757,5.2608622483734346e-05,2.0203014797108782e-05,0.0001099365809443,5.737052221111617e-05,0.0007121498748861
2015-03-25,0.0657622958543016,0.3376878440090401,0.2218498539947339,0.6995175481343363,5.043992891700763e-05,2.046863403415125e-05,0.0001103381668809,5.579926260673641e-05,0.0006888730798125
2015-03-26,0.0635259780194343,0.3402281557553787,0.2016528476357287,0.6983761154583251,4.7882235000370766e-05,2.0741308969795143e-05,0.0001095803957602,5.393955082050614e-05,0.0006735823461483
2015-03-27,0.0614459045532335,0.347435875286903,0.1757773443859253,0.6998451791868351,4.529593730213682e-05,2.101971466272976e-05,0.0001084103018129,5.179962174003752e-05,0.0006630916361417
2015-03-28,0.0606532976150391,0.3529540791636075,0.1587979277810801,0.6958160793959013,4.314639531660212e-05,2.128957045004554e-05,0.0001089164463003,5.09803884865348e-05,0.0006545259954145
2015-03-29,0.0615170522903986,0.357163208309642,0.1509656313224693,0.6928388583565891,4.138965578800443e-05,2.1550389853224947e-05,0.0001110128574695,5.16255010119444e-05,0.0006495249788383
2015-03-30,0.0614650565511127,0.3630449208089592,0.1465411549495077,0.690278927274759,4.006989186080888e-05,2.180816033282408e-05,0.0001142337558917,5.29839367246766e-05,0.0006474901046923
2015-03-31,0.0607654700945816,0.3693118594875186,0.1492550636362898,0.6978747906517635,3.9313803531253255e-05,2.2059150696684637e-05,0.0001191028624866,5.551013191484391e-05,0.0006483412029415
2015-04-01,0.061058054201766,0.3675745522857332,0.1483784528030843,0.7033758176875945,3.856594126338773e-05,2.2313433519210867e-05,0.0001237345960703,5.825462665160153e-05,0.0006573671092708
2015-04-02,0.0619594184611442,0.3570897935475418,0.1433349672158556,0.684880789230434,3.785177211024984e-05,2.257157607784536e-05,0.0001280988507782,6.117464086855547e-05,0.0006749738924344
